k,nu,u,c_over_c1,transport_frac,branch_frac,slack,argmin_lift,argmin_offset
17,4,38,0.31401103307159167,0.002410191285459573,0.9975899306047643,1.2189022391417836e-07,0,76
17,4,40,0.5071333046921394,0.0015950621268209226,0.9984050463352679,1.0846208886583497e-07,1,161
17,4,41,0.3458058742161053,0.0020413946760498504,0.9979587830040716,1.776801215047641e-07,0,82
17,4,43,0.9560945452626127,0.000789409617436172,0.9992107040952668,1.1371270303150993e-07,0,86
17,4,44,0.255907690437753,0.0027152917079342072,0.9972848879479703,1.7965590459745329e-07,0,88
17,4,46,0.539740847927224,0.001394994850222759,0.998605188898923,1.837491458989149e-07,0,92
17,4,47,0.5119410617389775,0.0015549225238560324,0.9984452496540954,1.7217795145185733e-07,2,13
17,4,49,0.4842831896694659,0.001973817017107581,0.9980263358336352,1.528507427295267e-07,1,179
17,4,50,0.4242462960427933,0.0017775385015495683,0.9982226498021265,1.8830367598532405e-07,2,19
17,4,52,0.6753923472173126,0.0011620775266497916,0.998838100989589,1.7851623890230428e-07,2,23
17,4,53,0.24122688963761083,0.0030940704925119305,0.9969060859312716,1.5642378348168506e-07,0,106
17,4,55,0.7656007469739449,0.001183420114562334,0.998816747744547,1.678591092790782e-07,1,191
17,4,56,0.3130107623765051,0.0023566604408314373,0.9976434925049584,1.5294578981084328e-07,2,31
17,4,58,0.5060746035090232,0.001689813171284268,0.9983102925841834,1.0575546771640632e-07,0,116
17,4,59,0.30396102140965026,0.0024356083104683734,0.9975645550695241,1.6337999264592895e-07,0,118
17,4,61,0.7627809377285408,0.0009984677454571893,0.9990016399001085,1.0764556579445639e-07,0,122
17,4,62,0.31138946936246553,0.0024543304065746977,0.9975458492883029,1.7969487764446512e-07,2,43
17,4,64,0.5501959246370577,0.0013424808823921945,0.9986576481377852,1.2902017743066097e-07,2,47
17,4,65,0.31720303775294434,0.002410253154158629,0.9975898750146491,1.2816880778920847e-07,1,211
17,4,67,0.48305581467449304,0.001692210150750629,0.9983079814270929,1.915778435890303e-07,0,134
17,4,68,0.3124890202499318,0.002208771229797378,0.9977914077841328,1.7901393012387246e-07,1,217
17,4,70,1.4420187402955968,0.0005028359554096668,0.9994973711769063,2.0713231596580783e-07,2,59
17,4,71,0.2558493370146375,0.0027530947603735057,0.9972470680473705,1.6280774395305286e-07,1,223
17,4,73,0.5185201658053838,0.0015881825894667732,0.9984119768391368,1.5942860365214528e-07,2,65
17,4,74,0.4229885977682456,0.001758638841366658,0.9982414634346568,1.0227602342816056e-07,2,67
17,4,76,0.6026824204033191,0.0018196214415681052,0.9981805032916439,1.247332119813649e-07,1,233
17,4,77,0.3665546837181352,0.002018296737002169,0.9979818103538908,1.0709089304228314e-07,1,235
17,4,79,0.7720196430453681,0.001011078048320739,0.9989891480483482,2.2609666872064338e-07,1,239
17,4,80,0.232459207939118,0.0034012172921686107,0.9965989003454984,1.1763766694095068e-07,1,241
18,1,0,1.0,0.0004514907499279008,0.999548647821428,1.3857135594541603e-07,1,3
18,1,1,1.3083086208432,0.000354853058603621,0.9996452737634495,1.2682205308145456e-07,1,5
18,1,2,0.6930151190092075,0.0006410618810159276,0.9993590744764814,1.3635749729346003e-07,0,4
18,2,1,0.48017886768092705,0.0009136386786142681,0.9990864971561161,1.3583473035261306e-07,2,20
18,2,2,1.4009619151706496,0.00032329590135548344,0.999676840054057,1.3595541248356824e-07,1,13
18,2,4,0.5806847522914408,0.0007564970787845693,0.9992436378654358,1.3494422024251662e-07,0,8
18,2,5,0.9067653027170854,0.0004886231871296671,0.9995115127861729,1.3597330239534244e-07,0,10
18,2,7,0.6353997197330437,0.0006947456905565866,0.9993053908597831,1.3655033970216834e-07,1,23
18,2,8,0.993250135977293,0.00044049656735442263,0.9995596403452387,1.3691259304060566e-07,2,7
18,3,1,0.6283787179057034,0.0007728946969543406,0.9992272416861004,1.363830548495315e-07,2,56
18,3,2,0.4002428191797437,0.0010997844558361335,0.9989003493863132,1.3384214936351668e-07,2,58
18,3,4,1.387575281957808,0.00036545958717735936,0.9996346742873096,1.3387448682955494e-07,2,62
